id,text,char_entropy,word_entropy,redundancy,actual_bytes,theoretical_bytes
1,Alice is the mother of Bob.,3.67639063257963,2.58496250072116,0.226818588051374,27,12.4078183849562
2,Bob is the father of Charlie.,3.64696666827365,2.58496250072116,0.233006739567596,29,13.220254172492
3,Charlie is the brother of David.,3.79283779740342,2.58496250072116,0.202328594382584,32,15.1713511896137
4,David lives in Boston.,3.57262366389516,2,0.248641810711689,22,9.8247150757117
5,Alice lives in New York.,3.68872187554087,2.32192809488736,0.224225205357119,24,11.0661656266226
6,Bob works at Google.,3.48418371977919,2,0.267241608094011,20,8.71045929944797
7,Charlie studies at MIT.,3.64248967316613,2,0.233948296040906,23,10.4721578103526
8,David plays soccer.,3.7216117239699,1.58496250072116,0.217308144035675,19,8.83882784442851
9,Alice likes reading books.,3.76718346789146,2,0.207723954314924,26,12.2433462706473
10,Bob drives a Tesla car.,3.62117554291947,2.32192809488736,0.238430869022276,23,10.4108796858935
11,The CEO leads the company.,3.70043971814109,1.92192809488736,0.221760826842403,26,12.0264290839585
12,The company has one thousand employees.,3.79209886097693,2.58496250072116,0.202484000041741,39,18.4864819472625
13,Employees work in modern offices.,3.84410198376946,2.32192809488736,0.191547227558928,33,15.856920683049
14,Offices are located in major cities.,3.78452769641656,2.58496250072116,0.204076291038516,36,17.0303746338745
15,The CFO manages company finances.,3.78652214953036,2.32192809488736,0.20365683776798,33,15.6194038668128
16,The CTO oversees all technology.,3.65251826628863,2.32192809488736,0.231839183445089,32,14.6100730651545
17,Engineers write software code daily.,3.86382639009082,2.32192809488736,0.187398989285703,36,17.3872187554087
18,Managers lead their project teams.,3.87806826834552,2.32192809488736,0.184403781039823,34,16.4817901404685
19,Teams complete important projects.,3.71601606233591,2,0.218484967174276,34,15.7930682649276
20,Projects generate significant revenue.,3.80921608020524,2,0.198884079071891,38,18.0937763809749
21,London is the capital of England.,3.77547584720914,2.58496250072116,0.205979984701782,33,15.5738378697377
22,England is located in Europe.,3.797467632984,2.32192809488736,0.201354894041939,29,13.765820169567
23,Paris is the capital of France.,3.71663089178687,2.58496250072116,0.218355662442949,31,14.4019447056741
24,France shares borders with Spain.,3.84712821013643,2.32192809488736,0.190910782140274,33,15.8694038668128
25,Berlin is located in Germany.,3.88333746042101,2.32192809488736,0.183295617687255,29,14.0770982940261
26,Germany has eighty million people.,3.86658710582896,2.32192809488736,0.186818383385587,34,16.4329951997731
27,Tokyo is located in Japan.,3.79621760259006,2.32192809488736,0.201617787831409,26,12.3377072084177
28,Japan is an island nation.,3.23989477771659,2.32192809488736,0.318617995432607,26,10.5296580275789
29,Rome has many ancient ruins.,3.70896608269462,2.32192809488736,0.219967647813529,28,12.9813812894312
30,Italy produces excellent wine.,3.93624341298306,2,0.172168971149775,30,14.7609127986865
31,The server runs Linux operating system.,3.93337514313916,2.58496250072116,0.172772196745039,39,19.1752038228034
32,Linux uses the stable kernel.,3.64696666827365,2.32192809488736,0.233006739567596,29,13.220254172492
33,The kernel manages system memory.,3.64243464946481,2.32192809488736,0.233959868071011,33,15.0250429290423
34,Memory stores important data.,3.62437970165111,2,0.237757002662624,29,13.1383764184853
35,Data flows through network connections.,4.01336015541515,2.32192809488736,0.155950555383471,39,19.5651307576489
36,Networks connect multiple computers.,3.86382639009082,2,0.187398989285703,36,17.3872187554087
37,Computers process digital information.,4.01057093426848,2,0.156537156253712,38,19.0502119377753
38,Information requires network bandwidth.,4.02849068017882,2,0.152768455963289,39,19.6388920658717
39,Bandwidth measures transmission speed.,3.845711394624,2,0.191208752494311,38,18.267129124464
40,Speed affects overall performance.,3.77777681145679,2,0.205496069099868,34,16.0555514486913
41,Water boils at one hundred degrees.,3.7970204317138,2.58496250072116,0.20144894490434,35,16.6119643887479
42,The sun is a bright star.,3.47907957062417,2.58496250072116,0.268315061283532,25,10.8721236582005
43,Earth orbits around the sun.,3.68200581476021,2.32192809488736,0.225637659548222,28,12.8870203516607
44,Mars is a red planet.,3.49922754172336,2.32192809488736,0.264077743136675,21,9.18547229702381
45,Gravity pulls objects downward.,4.28468381031709,2,0.0988884998083426,31,16.6031497649787
46,Light travels extremely fast.,3.77143702946113,2,0.206829388130607,29,13.6714592317966
47,Sound requires a physical medium.,3.98319563424773,2.32192809488736,0.162294453352391,33,16.4306819912719
48,Energy cannot be completely destroyed.,3.80921608020524,2.32192809488736,0.198884079071892,38,18.0937763809749
49,Time moves only forward.,3.93872187554087,2,0.171647725892831,24,11.8161656266226
50,Space is incredibly vast.,3.83326968951511,2,0.193825366473765,25,11.9789677797347
