sentence_id,subject,relation,object,entities,triples
1,Alice,mother_of,Bob,2,1
2,Bob,father_of,Charlie,2,1
3,Charlie,brother_of,David,2,1
4,David,lives_in,Boston,2,1
5,Alice,lives_in,New_York,2,1
6,Bob,works_at,Google,2,1
7,Charlie,studies_at,MIT,2,1
8,David,plays,soccer,2,1
9,Alice,likes,reading_books,2,1
10,Bob,drives,Tesla_car,2,1
11,CEO,leads,company,2,1
12,company,has,employees,2,1
13,employees,work_in,offices,2,1
14,offices,located_in,cities,2,1
15,CFO,manages,finances,2,1
16,CTO,oversees,technology,2,1
17,engineers,write,software,2,1
18,managers,lead,teams,2,1
19,teams,complete,projects,2,1
20,projects,generate,revenue,2,1
21,London,capital_of,England,2,1
22,England,located_in,Europe,2,1
23,Paris,capital_of,France,2,1
24,France,borders,Spain,2,1
25,Berlin,located_in,Germany,2,1
26,Germany,has,people,2,1
27,Tokyo,located_in,Japan,2,1
28,Japan,is,island,2,1
29,Rome,has,ruins,2,1
30,Italy,produces,wine,2,1
31,server,runs,Linux,2,1
32,Linux,uses,kernel,2,1
33,kernel,manages,memory,2,1
34,memory,stores,data,2,1
35,data,flows_through,networks,2,1
36,networks,connect,computers,2,1
37,computers,process,information,2,1
38,information,requires,bandwidth,2,1
39,bandwidth,measures,speed,2,1
40,speed,affects,performance,2,1
41,water,boils_at,100_degrees,2,1
42,sun,is,star,2,1
43,Earth,orbits,sun,2,1
44,Mars,is,planet,2,1
45,gravity,pulls,objects,2,1
46,light,travels,fast,2,1
47,sound,requires,medium,2,1
48,energy,cannot_be,destroyed,2,1
49,time,moves,forward,2,1
50,space,is,vast,2,1
