sentence_id,SNR_dB,theoretical_BER,measured_BER,natural_task_correct,semantic_task_correct,original_text,noisy_text
1,0,0.0786496035251426,0.0787037037037037,0,1,Alice is the mother of Bob.,"Alybe?kq(thi?motHer +d FMb?"
1,1,0.0562819519765415,0.0555555555555556,0,1,Alice is the mother of Bob.,"Alice is t?e m?t`?c of$B?k?"
1,2,0.037506128358926,0.037037037037037,0,1,Alice is the mother of Bob.,"Alice?is t`e mothEr of Hob?"
1,3,0.0228784075610853,0.0231481481481481,0,1,Alice is the mother of Bob.,"@lhce is the mo?xar of Bob."
1,4,0.0125008180407376,0.0138888888888889,1,1,Alice is the mother of Bob.,"Alice is the lothgr /f Bob."
1,5,0.00595386714777866,0.00462962962962963,0,1,Alice is the mother of Bob.,"Alice is the mother of Boc."
1,10,3.87210821552204e-06,0,1,1,Alice is the mother of Bob.,"Alice is the mother of Bob."
1,15,9.12395736262809e-16,0,1,1,Alice is the mother of Bob.,"Alice is the mother of Bob."
1,20,1.04424379188127e-45,0,1,1,Alice is the mother of Bob.,"Alice is the mother of Bob."
1,25,7.30696918464799e-140,0,1,1,Alice is the mother of Bob.,"Alice is the mother of Bob."
1,30,0,0,1,1,Alice is the mother of Bob.,"Alice is the mother of Bob."
2,0,0.0786496035251426,0.0775862068965517,0,1,Bob is the father of Charlie.,"BMb?is,qim fAthez gf!Siazlae."
2,1,0.0562819519765415,0.0560344827586207,0,1,Bob is the father of Charlie.,"Coc is(thu Futxez?/f Charlien"
2,2,0.037506128358926,0.0387931034482759,0,1,Bob is the father of Charlie.,"B?b is?the fe?her of`C(Ar?i?."
2,3,0.0228784075610853,0.021551724137931,0,1,Bob is the father of Charlie.,"Bkb iw the f!t`er of Sharlie."
2,4,0.0125008180407376,0.0129310344827586,0,1,Bob is the father of Charlie.,"Bob is the$father of Aharli?."
2,5,0.00595386714777866,0.00431034482758621,0,1,Bob is the father of Charlie.,"Bob is the father of Cha?lie."
2,10,3.87210821552204e-06,0,1,1,Bob is the father of Charlie.,"Bob is the father of Charlie."
2,15,9.12395736262809e-16,0,1,1,Bob is the father of Charlie.,"Bob is the father of Charlie."
2,20,1.04424379188127e-45,0,1,1,Bob is the father of Charlie.,"Bob is the father of Charlie."
2,25,7.30696918464799e-140,0,1,1,Bob is the father of Charlie.,"Bob is the father of Charlie."
2,30,0,0,1,1,Bob is the father of Charlie.,"Bob is the father of Charlie."
3,0,0.0786496035251426,0.078125,0,1,Charlie is the brother of David.,"Sl)rlmu ic thE b""o4iE2 of?FarIv."
3,1,0.0562819519765415,0.0546875,0,1,Charlie is the brother of David.,"ChArhiu i?!the bbother?o?2Da6he&"
3,2,0.037506128358926,0.0390625,0,1,Charlie is the brother of David.,"Charlie?ls`the brlthev on!?avid."
3,3,0.0228784075610853,0.0234375,0,1,Charlie is the brother of David.,"Charlie ks the?brotheR of Danid."
3,4,0.0125008180407376,0.01171875,0,1,Charlie is the brother of David.,"Char,ie Is the brothes of David."
3,5,0.00595386714777866,0.0078125,0,1,Charlie is the brother of David.,"Charhi? is the brother of David."
3,10,3.87210821552204e-06,0,1,1,Charlie is the brother of David.,"Charlie is the brother of David."
3,15,9.12395736262809e-16,0,1,1,Charlie is the brother of David.,"Charlie is the brother of David."
3,20,1.04424379188127e-45,0,1,1,Charlie is the brother of David.,"Charlie is the brother of David."
3,25,7.30696918464799e-140,0,1,1,Charlie is the brother of David.,"Charlie is the brother of David."
3,30,0,0,1,1,Charlie is the brother of David.,"Charlie is the brother of David."
4,0,0.0786496035251426,0.0795454545454545,0,1,David lives in Boston.,"Fa|id ?mves$in0Bosu?g."
4,1,0.0562819519765415,0.0568181818181818,0,1,David lives in Boston.,"@avid l)ver?m~ ?ogton>"
4,2,0.037506128358926,0.0397727272727273,0,1,David lives in Boston.,"T?vid lives on(Bostof."
4,3,0.0228784075610853,0.0227272727272727,0,1,David lives in Boston.,"Dyvid lives if Bo{ton."
4,4,0.0125008180407376,0.0113636363636364,0,1,David lives in Boston.,"Da?id lives in BoSton."
4,5,0.00595386714777866,0.00568181818181818,1,1,David lives in Boston.,"David?lives in Boston."
4,10,3.87210821552204e-06,0,1,1,David lives in Boston.,"David lives in Boston."
4,15,9.12395736262809e-16,0,1,1,David lives in Boston.,"David lives in Boston."
4,20,1.04424379188127e-45,0,1,1,David lives in Boston.,"David lives in Boston."
4,25,7.30696918464799e-140,0,1,1,David lives in Boston.,"David lives in Boston."
4,30,0,0,1,1,David lives in Boston.,"David lives in Boston."
5,0,0.0786496035251426,0.078125,0,1,Alice lives in New York.,"Qlkse!dkvmq an ?e? Yorc?"
5,1,0.0562819519765415,0.0572916666666667,0,1,Alice lives in New York.,"Adice""?ivas yn Neg Yo:+&"
5,2,0.037506128358926,0.0364583333333333,0,1,Alice lives in New York.,"Alicg lives""in`?ew*York."
5,3,0.0228784075610853,0.0208333333333333,0,1,Alice lives in New York.,"Almce lives )n0New [ork."
5,4,0.0125008180407376,0.0104166666666667,0,1,Alice lives in New York.,"Alice hives!in New York."
5,5,0.00595386714777866,0.00520833333333333,0,1,Alice lives in New York.,"Alice lives in New Yor?."
5,10,3.87210821552204e-06,0,0,1,Alice lives in New York.,"Alice lives in New York."
5,15,9.12395736262809e-16,0,0,1,Alice lives in New York.,"Alice lives in New York."
5,20,1.04424379188127e-45,0,0,1,Alice lives in New York.,"Alice lives in New York."
5,25,7.30696918464799e-140,0,0,1,Alice lives in New York.,"Alice lives in New York."
5,30,0,0,0,1,Alice lives in New York.,"Alice lives in New York."
6,0,0.0786496035251426,0.08125,0,1,Bob works at Google.,"?m? w?2ic aT Coogle."
6,1,0.0562819519765415,0.05625,0,1,Bob works at Google.,"@on works(at GogGze."
6,2,0.037506128358926,0.0375,1,1,Bob works at Google.,"Bob07orks !e Googlen"
6,3,0.0228784075610853,0.025,0,1,Bob works at Google.,"Fob wkrk3 at Foogle."
6,4,0.0125008180407376,0.0125,0,1,Bob works at Google.,"Bkb wosks at Google."
6,5,0.00595386714777866,0.00625,1,1,Bob works at Google.,"Bob worKs at Google."
6,10,3.87210821552204e-06,0,1,1,Bob works at Google.,"Bob works at Google."
6,15,9.12395736262809e-16,0,1,1,Bob works at Google.,"Bob works at Google."
